START_YEAR,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059739979,0.085190017,0.13029151,0.191907505,0.236999304,0.267718437,0.304825365,0.381585153,0.439603598,0.466329945,0.511655672,0.537763139,0.588586736,0.639777928,0.697969855,0.751681915,0.833992749,0.876768524,0.902253228,0.942727636,0.960190041,0.983928379,1.023868674
1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024015361,0.066574379,0.124716939,0.167266809,0.196254234,0.23126936,0.303702022,0.358449834,0.383669555,0.426440166,0.451075895,0.49903445,0.547339877,0.602251391,0.652935579,0.730606362,0.770970768,0.79501884,0.833211613,0.849689622,0.872089775,0.909778544
1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041560918,0.09833991,0.139891894,0.168199502,0.202393447,0.273127408,0.326591266,0.351219531,0.392987079,0.417045047,0.463878871,0.511051431,0.564675152,0.614170687,0.690019923,0.729437697,0.752921791,0.790218861,0.806310425,0.828185247,0.864990133
1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054513367,0.094407322,0.121585384,0.154414904,0.222326401,0.273656915,0.29730245,0.337403368,0.360501362,0.405466397,0.450756653,0.502240652,0.54976119,0.62258385,0.660428755,0.682975773,0.718784596,0.734234066,0.755236027,0.790572305
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037831626,0.06360471,0.094737099,0.159137892,0.207814861,0.230238033,0.268265922,0.290169859,0.332810415,0.375759378,0.424581897,0.469645847,0.538703919,0.574592421,0.595973865,0.62993154,0.644582345,0.664498604,0.698008163
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02483359,0.054831123,0.116884342,0.16378691,0.1853927,0.222034375,0.243139858,0.284226055,0.325609419,0.372652232,0.416073485,0.482614213,0.517194487,0.537796522,0.570516353,0.584633099,0.603823359,0.636111409
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029270639,0.089820194,0.135586228,0.15666847,0.192422251,0.213016309,0.253106913,0.293487481,0.339390361,0.381759438,0.446687763,0.480430094,0.500532904,0.532459874,0.546234545,0.56495979,0.596465441
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058827633,0.103292162,0.123774862,0.158511868,0.178520268,0.217470766,0.256702983,0.301300466,0.342464641,0.405546519,0.438329277,0.457860399,0.488879422,0.502262366,0.520455098,0.551064784
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041994114,0.061338812,0.094145857,0.113042605,0.149829044,0.18688155,0.229001232,0.267878358,0.327455456,0.35841683,0.376862818,0.406158449,0.418797847,0.435979805,0.464888841
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018565074,0.05004994,0.068185118,0.103489001,0.139048229,0.179470416,0.216780729,0.27395677,0.303670348,0.321372932,0.3494879,0.361617909,0.378107405,0.405851358
